"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-07",,"86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-08",,"85",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-09","0.12","83",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-10","0.02","85",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-11","0.31","85",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-12","0.00","84",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-13","0.02","87",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-14","0.00","89",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-15",,"90",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-16",,"89",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-17",,"87",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-18",,"83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-19",,"78",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-20",,"78",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-21",,"82",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-22","0.39","82",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-23","0.28","80",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-24","0.08","81",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-25","0.08","83",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-26","0.01","81",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-27","0.04","84",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-28","0.00","85",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-29",,"86",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-30",,"87",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-10-31",,"87",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-01",,"84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-02",,"84",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-03",,"84",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-04",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-05",,"86",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-06",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-07",,"84",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-08","1.30","81",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-09","1.18","82",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-10","0.00","83",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-11",,"85",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-12",,"85",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-13",,"86",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-14",,"84",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-15",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-16",,"86",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-17",,"87",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-18",,"85",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-19",,"84",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-20",,"84",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-21",,"85",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-22",,"85",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-23",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-24",,"84",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-25",,"83",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-26",,"84",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-27",,"84",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-28",,"85",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2019-11-29",,"85",,"73"
