"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-08","0.00","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-09","0.00","85",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-10","0.00","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-11","0.00","81",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-12","0.43","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-13","0.00","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-14",,"84",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-15",,"83","86",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-16",,"85",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-17","0.00","82","87",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-18","0.24","79",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-19","0.75","80",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-20","0.01","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-21","0.55","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-22","1.02","85","92","74"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-23","0.02","83","90","79"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-24","0.00","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-25",,"82","90",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-26","0.00","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-27","0.98","82","89","74"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-28","0.00","83","89",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-29",,"85","91","77"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-09-30",,"85",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-01",,"84","89",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-02","0.04","83","88",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-03","0.00","83","89",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-04","0.08","82","89",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-05","0.00","82","90",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-06","0.02","79","85",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-07","0.94","78","82","74"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-08","0.35","80","90","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-09","0.75","83","90","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-10","0.00","83","90","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-11",,"84","91","79"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-12",,"84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-13","0.04","83","89","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-14","0.00","85","90","78"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-15",,"86","92","81"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-16",,"85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-17",,"83","94","72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-18",,"85","96","72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-19",,"85","96","76"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-20",,"86","92","81"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-21",,"85","97","76"
